Name,Status
AIFrameworkService,Stopped
ArmouryCrateProArtService,Stopped
AsusAppService,Stopped
AsusDialPadService,Stopped
ASUSDialService,Stopped
AsusScreenXpertHostService,Stopped
BDESVC,Stopped
COMSysApp,Stopped
DevQueryBroker,Stopped
DusmSvc,Stopped
GlassWire,Stopped
NaturalAuthentication,Stopped
PrintDeviceConfigurationService,Stopped
StiSvc,Stopped
StoryCubeService,Stopped
TrkWks,Stopped
WdiSystemHost,Stopped
WpnService,Stopped
WSLService,Stopped
ApxSvc,Stopped
asusm,Stopped
autotimesvc,Stopped
com.docker.service,Stopped
DmEnrollmentSvc,Stopped
dmwappushservice,Stopped
DsmSvc,Stopped
DsSvc,Stopped
embeddedmode,Stopped
EntAppSvc,Stopped
fhsvc,Stopped
FrameServer,Stopped
FrameServerMonitor,Stopped
FvSvc,Stopped
McpManagementService,Stopped
perceptionsimulation,Stopped
PrintDeviceConfigurationService,Stopped
PrintNotify,Stopped
PrintScanBrokerService,Stopped
PushToInstall,Stopped
QWAVE,Stopped
RasAuto,Stopped
RemoteAccess,Stopped
SCardSvr,Stopped
ScDeviceEnum,Stopped
SCPolicySvc,Stopped
SEMgrSvc,Stopped
SensorDataService,Stopped
SensrSvc,Stopped
SessionEnv,Stopped
shpamsvc,Stopped
SmsRouter,Stopped
Steam Client Service,Stopped
svsvc,Stopped
TapiSrv,Stopped
TermService,Stopped
tzautoupdate,Stopped
UmRdpService,Stopped
vmcompute,Stopped
vmicguestinterface,Stopped
vmicheartbeat,Stopped
vmickvpexchange,Stopped
vmicrdv,Stopped
vmicshutdown,Stopped
vmictimesync,Stopped
vmicvmsession,Stopped
vmicvss,Stopped
VmwareAutostartService,Stopped
WalletService,Stopped
WbioSrvc,Stopped
wcncsvc,Stopped
WiaRpc,Stopped
WinRM,Stopped
wisvc,Stopped
wlpasvc,Stopped
WManSvc,Stopped
wmiApSrv,Stopped
WMPNetworkSvc,Stopped
workfolderssvc,Stopped
